Full_name,Institution,RCM,pr12 status,FWI status,Observations,period,pr12_catalog,vars_catalog,landmask,FWI catalog
AUTH_WRF451Q,AUTH,AUTH_WRF451Q,F,E,Lon dimension mismatch between precip and rest of fields,1987-2005,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/AUTH_WRF451Q_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/AUTH_WRF451Q_fwi_vars.ncml,mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/AUTH/ERA5/evaluation/r1i1p1f1/WRF451Q/v1-r3/fx/sftlf/v20250630/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_AUTH-WRF451Q_v1-r3_fx.nc,
CLMcom-CMCC_CCLM6-0-1-URB,CLMcom-CMCC,CCLM6-0-1-URB,F,F,,1980-2021,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CCLM6-0-1-URB_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CCLM6-0-1-URB_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/CLMcom-CMCC/ERA5/evaluation/r1i1p1f1/CCLM6-0-1-URB/v1-r1/fx/sftlf/v20250201/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_CLMcom-CMCC_CCLM6-0-1-URB_v1-r1_fx.nc ,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/CLMcom-CMCC_CCLM6-0-1-URB_fwi.ncml
CLMcom-Hereon_CCLM6-0-1,CLMcom-Hereon,CCLM6-0-1,F,F,,1980-2020,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CLMcom-Hereon_CCLM6-0-1_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CLMcom-Hereon_CCLM6-0-1_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/CLMcom-Hereon/ERA5/evaluation/r1i1p1f1/CCLM6-0-1/v1-r1/fx/sftlf/v20230222/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_CLMcom-Hereon_CCLM6-0-1_v1-r1_fx.nc,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/CLMcom-Hereon_CCLM6-0-1_fwi.ncml
CLMcom-Hereon_GCOAST-AHOIB1-1,CLMcom-Hereon,GCOAST-AHOIB1-1,F,F,,1980-2018,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CLMcom-Hereon_GCOAST-AHOIB1-1_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CLMcom-Hereon_GCOAST-AHOIB1-1_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/CLMcom-Hereon/ERA5/evaluation/r1i1p1f1/GCOAST-AHOIB1-1/v1-r1/fx/sftlf/v20240920/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_CLMcom-Hereon_GCOAST-AHOIB1-1_v1-r1_fx.nc,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/CLMcom-Hereon_GCOAST-AHOIB1-1_fwi.ncml
CLMcom-Hereon_ICON-CLM-202407-1-1,CLMcom-Hereon,ICON-CLM-202407-1-1,F,F,,1950-2020,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/ICON-CLM-202407-1-1_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/ICON-CLM-202407-1-1_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/CLMcom-Hereon/ERA5/evaluation/r1i1p1f1/ICON-CLM-202407-1-1/v1-r1/fx/sftlf/v20240920/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_CLMcom-Hereon_ICON-CLM-202407-1-1_v1-r1_fx.nc ,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/CLMcom-Hereon_ICON-CLM-202407-1-1_fwi.ncml
CLMcom-KUL_CCLM6-0-1-URB-ESG,CLMcom-KUL,CCLM6-0-1-URB-ESG,F,F,,1980-2020,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CLMcom-KUL_CCLM6-0-1-URB-ESG_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CLMcom-KUL_CCLM6-0-1-URB-ESG_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/CLMcom-KUL/ERA5/evaluation/r1i1p1f1/CCLM6-0-1-URB-ESG/v1-r1/fx/sftlf/v20260305/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_CLMcom-KUL_CCLM6-0-1-URB-ESG_v1-r1_fx.nc,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/CLMcom-KUL_CCLM6-0-1-URB-ESG_fwi.ncml
CNRM_ALADIN64E1,CNRM,ALADIN64E1,F,F,,1959-2022,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CNRM-ALADIN64E1_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/CNRM-ALADIN64E1_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/CNRM-MF/ERA5/evaluation/r1i1p1f1/CNRM-ALADIN64E1/v1-r1/fx/sftlf/v20250505/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_CNRM-MF_CNRM-ALADIN64E1_v1-r1_fx.nc ,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/CNRM_ALADIN64E1_fwi.ncml
COSMO-CLM-6-0-clm3,COSMO,COSMO-CLM-6-0-clm3,F,E,Dissapeared from original directory,1960-2021,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/COSMO-CLM-6-0-clm3_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/COSMO-CLM-6-0-clm3_fwi_vars.ncml,,
DWD-BSH_ROAM-NBS,DWD-BSH,ROAM-NBS,F,F,,1979-2021,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/ROAM-NBS_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/ROAM-NBS_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/DWD-BSH/ERA5/evaluation/r1i1p1f1/ROAM-NBS/v1-r1/fx/sftlf/v20240920/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_DWD-BSH_ROAM-NBS_v1-r1_fx.nc,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/DWD-BSH_ROAM-NBS_fwi.ncml
GERICS_REMO2020-2-2-iMOVE,GERICS,REMO2020-2-2-iMOVE,F,F,,1979-2020,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/REMO2020-2-2-iMOVE_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/REMO2020-2-2-iMOVE_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/GERICS/ERA5/evaluation/r1i1p1f1/REMO2020-2-2-iMOVE/v1-r1/fx/sftlf/v20250515/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_GERICS_REMO2020-2-2-iMOVE_v1-r1_fx.nc ,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/GERICS_REMO2020-2-2-iMOVE_fwi.ncml
GERICS_REMO2020-2-2-iMOVE-LUC,GERICS,REMO2020-2-2-iMOVE-LUC,F,F,,1979-2020,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/REMO2020-2-2-iMOVE-LUC_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/REMO2020-2-2-iMOVE-LUC_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/GERICS/ERA5/evaluation/r1i1p1f1/REMO2020-2-2-iMOVE-LUC/v1-r1/fx/sftlf/v20250515/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_GERICS_REMO2020-2-2-iMOVE-LUC_v1-r1_fx.nc ,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/GERICS_REMO2020-2-2-iMOVE-LUC_fwi.ncml
HCLIMcom-SMHI_HCLIM43-ALADIN,HCLIMcom-SMHI,HCLIM43-ALADIN,F,F,,1980-2023,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/HCLIM43-ALADIN_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/HCLIM43-ALADIN_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/HCLIMcom-SMHI/ERA5/evaluation/r1i1p1f1/HCLIM43-ALADIN/v1-r1/fx/sftlf/v20241205/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_HCLIMcom-SMHI_HCLIM43-ALADIN_v1-r1_fx.nc ,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/HCLIMcom-SMHI_HCLIM43-ALADIN_fwi.ncml
ICTP_RegCM5-0,ICTP,RegCM5-0,F,F,,1970-2019,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/RegCM5-0_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/RegCM5-0_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/ICTP/ERA5/evaluation/r1i1p1f1/RegCM5-0/v1-r1/fx/sftlf/v20250415/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_ICTP_RegCM5-0_v1-r1_fx.nc ,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/ICTP_RegCM5-0_fwi.ncml
IDL-FCUL_WRF451Q,IDL-FCUL,IDL-FCUL_WRF451Q,F,F,sfcWind units non-convertible by udUnits (ms-1 not a valid string),1980-2020,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/IDL-FCUL_WRF451Q_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/IDL-FCUL_WRF451Q_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/IDL-FCUL/ERA5/evaluation/r1i1p1f1/WRF451Q/v1-r1/fx/sftlf/v20240630/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_IDL-FCUL_WRF451Q_v1-r1_fx.nc,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/IDL-FCUL_WRF451Q_fwi.ncml
KNMI_RACMO23E,KNMI,RACMO23E,F,F,,1980-2020,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/KNMI-RACMO22E_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/KNMI_RACMO23E_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/KNMI/ERA5/evaluation/r1i1p1f1/RACMO23E/v1-r1/fx/sftlf/v20241216/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_KNMI_RACMO23E_v1-r1_fx.nc,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/KNMI_RACMO23E_fwi.ncml
RMIB-UGent_ALARO1-SFX,RMIB-UGent,ALARO1-SFX,F,F,,1980-2022,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/ALARO1-SFX_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/ALARO1-SFX_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/RMIB-UGent/ERA5/evaluation/r1i1p1f1/ALARO1-SFX/v1-r1/fx/sftlf/v20241009/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_RMIB-UGent_ALARO1-SFX_v1-r1_fx.nc,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/RMIUB-UGent_ALARO1-SFX_fwi.ncml
GERICS_REMO2020-2-2-TEB,GERICS,REMO2020-2-2-TEB,F,F,sfcWind unavailable - module from uas and vas,1979-2020,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/REMO2020-2-2-TEB_pr12.ncml,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/GERICS_REMO2020-2-2-TEB_fwi_vars.ncml,/mnt/CORDEX_CMIP6_tmp/sim_data/CORDEX-CMIP6/DD/EUR-12/GERICS/ERA5/evaluation/r1i1p1f1/REMO2020-2-2-TEB/v1-r1/fx/sftlf/v20251028/sftlf_EUR-12_ERA5_evaluation_r1i1p1f1_GERICS_REMO2020-2-2-TEB_v1-r1_fx.nc,/mnt/CORDEX_CMIP6_tmp/user_tmp/jbediajimenez/data_catalogs/fwi_datasets/GERICS_REMO2020-2-2-TEB_fwi.ncml
